ID;Report_ID;Titel;Recruitment_Source;Participants;Task_Type;n_total;GenAI_Type;GenAI_Model;Creativity_Measurement;Measurement_Evaluator;n_treatment;SE_treatment;SD_treatment;M_treatment;n_control;SE_control;SD_control;M_control;F_value;Chi_square;unstandardised_beta;SE_beta;Z_value;cohens_d
CP01;R1;An empirical investigation of the impact of ChatGPT on creativity;Mturk;Laypeople;ideation product;233;T2T;GPT-3.5;creativity scale;Expert;117;;;;116;;;;;;;;;0,34
CP01;R2;An empirical investigation of the impact of ChatGPT on creativity;Prolific;Laypeople;ideation item usage;291;T2T;GPT-3.5;creativity scale;Expert;97;;;;97;;;;;;;;;0,5
CP01;R3;An empirical investigation of the impact of ChatGPT on creativity;Prolific;Laypeople;ideation product;200;T2T;GPT-3.5;creativity scale;Expert;66;;;;66;;;;;;;;;1,77
CP01;R4;An empirical investigation of the impact of ChatGPT on creativity;Mturk;Laypeople;ideation product;194;T2T;GPT-3.5;creativity scale;Human;97;;;;97;;;;;;;;;0,37
CP01;R5;An empirical investigation of the impact of ChatGPT on creativity;Prolific;Laypeople;ideation other;400;T2T;GPT-3.5;creativity scale;Expert;200;;;;200;;;;;;;;;0,35
CP01;R6;An empirical investigation of the impact of ChatGPT on creativity;Prolific;Laypeople;ideation item usage;383;T2T;GPT-3.5;creativity scale;Expert;192;;;;191;;;;;;;;;0,79
CP02;R1;Creative and Strategic Capabilities of Generative Ai: Evidence from Large-Scale Experiments;Prolific;Not disclosed;creative writing;979;T2T;2 Models;creativity scale;Human;309;;;;688;;;;;;0,5;0,052;;
CP03;R1;Establishing the importance of co-creation and self-efficacy in creative collaboration with artificial intelligence;Prolific;Academia;creative writing;96;T2T;n.d.;creativity scale;Expert;48;;4,32;12,55;48;;4,94;18,23;;;;;;
CP03;R2;Establishing the importance of co-creation and self-efficacy in creative collaboration with artificial intelligence;Prolific;Academia;creative writing;101;T2T;n.d.;creativity scale;Expert;50;;4,45;12,53;51;;4,98;15,74;;;;;;
CP03;R3;Establishing the importance of co-creation and self-efficacy in creative collaboration with artificial intelligence;Prolific;Academia;creative writing;96;T2T;n.d.;creativity scale;Expert;51;;5,06;14,7;51;;4,98;15,74;;;;;;
CP04;R1;Generative AI Adoption in Human Creative Tasks: Experimental Evidence;University;Academia;ideation other;124;T2T;GPT-3.5;creativity scale;Human;61;;2,2;6,18;63;;2,3;5,93;;;;;;
CP05;R1;Generative artificial intelligence enhances creativity but reduces the diversity of novel content;Prolific;Not disclosed;creative writing;293;T2T;GPT-4;novelty scale;Expert;100;;;;95;;;;;;0,207;0,089;;
CP05;R2;Generative artificial intelligence enhances creativity but reduces the diversity of novel content;Prolific;Not disclosed;creative writing;293;T2T;GPT-4;novelty scale;Expert;98;;;;95;;;;;;0,311;0,087;;
CP06;R1;How Experience Moderates the Impact of Generative AI Ideas on the Research Process;University;Academia ;ideation research proposal;310;T2T;GPT-4;novelty scale;Self-assessed;210;;;;100;;;;;;-0,218;0,194;;
CP07;R1;If ChatGPT can do it, where is my creativity? generative AI boosts performance but diminishes experience in creative writing;Prolific;Academia;creative writing;225;T2T;2 Models;felxibility score;Human;111;0,38;;7,6;114;0,25;;5;;;;;;
CP08;R1;Interactions with generative AI chatbots: unveiling dialogic dynamics, students' perceptions, and practical competencies in creative problem-solving;University;Academia;creative problem solving;80;T2T;Dou Bao;CPS scale;Rule-based;40;;11,79;57,77;40;;12,85;46,38;;;;;;
CP09;R1;Large Language Model in Creative Work: The Role of Collaboration Modality and User Expertise;Prolific;Business;ideation business concepts;239;T2T;GPT-4;creativity scale;Human;122;;1,836;4,369;117;;1,823;4,521;;;;;;
CP10;R1;Large Language Model in Ideation for Product Innovation: An Exploratory Comparative Study;Mturk;Laypeople;ideation product;90;T2T;GPT-3.5-turbo;novelty scale;Human;39;;;;28;;;;4,88;;;;;
CP11;R1;Revolution or inflated expectations? Exploring the impact of generative AI on ideation in a practical sustainability context;Company;Business;ideation other;56;T2T;GPT-4;novelty scale;Expert;26;;0,53;2,91;30;;0,52;2,73;;;;;;
CP12;R1;The Crowdless Future? How Generative AI Is Shaping the Future of Human Crowdsourcing;Public;Business;ideation business concepts;3900;T2T;GPT-4;novelty scale;Expert;90;;1,040;3,230;54;;1,127;3,508;;;;;;
CP12;R2;The Crowdless Future? How Generative AI Is Shaping the Future of Human Crowdsourcing;Public;Business;ideation business concepts;3900;T2T;GPT-4;novelty scale;Expert;90;;0,993;3,469;54;;1,127;3,508;;;;;;
