ID;Report_ID;Titel;Recruitment_Source;Participants;Task_Type;n_total;GenAI_Type;GenAI_Model;Creativity_Measurement;Measurement_Evaluator;n_treatment;SE_treatment;SD_treatment;M_treatment;n_control;SE_control;SD_control;M_control;F_value;df;t_value;unstandardised_beta;SE_beta;Z_value;cohens_d
HAI01;R1;A Confederacy of Models: a Comprehensive Evaluation of LLMs on Creative Writing;University;Academia;creative writing;10;T2T;GPT-4;creativity scale ;Expert;5;;1;7,6;5;;2;8;;;;;;;
HAI01;R2;A Confederacy of Models: a Comprehensive Evaluation of LLMs on Creative Writing;University;Academia;creative writing;10;T2T;stablelm;creativity scale ;Expert;5;;1,5;3,2;5;;2;8;;;;;;;
HAI01;R3;A Confederacy of Models: a Comprehensive Evaluation of LLMs on Creative Writing;University;Academia;creative writing;10;T2T;dolly;creativity scale ;Expert;5;;2,8;4,2;5;;2;8;;;;;;;
HAI01;R4;A Confederacy of Models: a Comprehensive Evaluation of LLMs on Creative Writing;University;Academia;creative writing;10;T2T;alpaca;creativity scale ;Expert;5;;1;1,9;5;;2;8;;;;;;;
HAI01;R5;A Confederacy of Models: a Comprehensive Evaluation of LLMs on Creative Writing;University;Academia;creative writing;10;T2T;Claude;creativity scale ;Expert;5;;2,3;7,1;5;;2;8;;;;;;;
HAI01;R6;A Confederacy of Models: a Comprehensive Evaluation of LLMs on Creative Writing;University;Academia;creative writing;10;T2T;bing;creativity scale ;Expert;5;;1,6;7;5;;2;8;;;;;;;
HAI01;R7;A Confederacy of Models: a Comprehensive Evaluation of LLMs on Creative Writing;University;Academia;creative writing;10;T2T;GPT-3.5;creativity scale ;Expert;5;;2,5;5,4;5;;2;8;;;;;;;
HAI01;R8;A Confederacy of Models: a Comprehensive Evaluation of LLMs on Creative Writing;University;Academia;creative writing;10;T2T;koala;creativity scale ;Expert;5;;2,3;5,8;5;;2;8;;;;;;;
HAI01;R9;A Confederacy of Models: a Comprehensive Evaluation of LLMs on Creative Writing;University;Academia;creative writing;10;T2T;vicuna;creativity scale ;Expert;5;;1,9;5,1;5;;2;8;;;;;;;
HAI01;R10;A Confederacy of Models: a Comprehensive Evaluation of LLMs on Creative Writing;University;Academia;creative writing;10;T2T;oa;creativity scale ;Expert;5;;2,1;4,9;5;;2;8;;;;;;;
HAI01;R11;A Confederacy of Models: a Comprehensive Evaluation of LLMs on Creative Writing;University;Academia;creative writing;10;T2T;Bard;creativity scale ;Expert;5;;2,1;3,9;5;;2;8;;;;;;;
