
   rstudent  dffits cook.d  cov.r tau2.del   QE.del    hat weight    dfbs inf 
1    0.1128  0.0269 0.0008 1.1116   0.3463 232.1393 0.0492 4.9240  0.0269     
2    0.3829  0.0877 0.0081 1.1021   0.3433 231.2623 0.0487 4.8702  0.0877     
3    2.9332  0.6231 0.2837 0.7544   0.2271 184.2575 0.0460 4.5976  0.6276     
4    0.1625  0.0380 0.0015 1.1096   0.3458 232.1716 0.0487 4.8742  0.0380     
5    0.1319  0.0316 0.0011 1.1136   0.3466 232.1545 0.0503 5.0292  0.0316     
6    0.9062  0.2083 0.0439 1.0636   0.3298 214.5173 0.0501 5.0129  0.2084     
7    0.6761  0.1573 0.0256 1.0873   0.3374 210.1290 0.0511 5.1085  0.1574     
8   -2.8787 -0.6236 0.2901 0.7650   0.2309 180.0975 0.0451 4.5117 -0.6299     
9   -1.6695 -0.3679 0.1243 0.9593   0.2961 205.5166 0.0460 4.6029 -0.3685     
10  -0.8036 -0.1768 0.0318 1.0678   0.3326 223.6561 0.0463 4.6335 -0.1768     
11  -0.2710 -0.0592 0.0037 1.1031   0.3442 230.1209 0.0472 4.7230 -0.0592     
12   0.1005  0.0240 0.0006 1.1107   0.3462 232.1259 0.0488 4.8765  0.0240     
13   0.4079  0.0933 0.0091 1.1009   0.3429 231.0634 0.0487 4.8680  0.0933     
14  -0.7082 -0.1610 0.0267 1.0812   0.3359 214.1242 0.0496 4.9613 -0.1611     
15   0.8501  0.1933 0.0380 1.0680   0.3317 223.2470 0.0490 4.9004  0.1933     
16   1.0678  0.2301 0.0526 1.0403   0.3240 226.4552 0.0445 4.4454  0.2301     
17  -0.6117 -0.1384 0.0198 1.0886   0.3385 219.5513 0.0493 4.9333 -0.1384     
18   0.4321  0.0935 0.0091 1.0892   0.3409 231.6537 0.0436 4.3555  0.0933     
19   0.1043  0.0232 0.0006 1.0966   0.3437 232.1650 0.0426 4.2600  0.0232     
20  -0.9072 -0.2025 0.0414 1.0593   0.3293 218.7292 0.0475 4.7545 -0.2025     
21  -0.5221 -0.1158 0.0139 1.0916   0.3402 226.5460 0.0476 4.7575 -0.1158     

