
    estimate     se   zval   pval   ci.lb  ci.ub        Q     Qp   tau2      I2      H2 
-1    0.2691 0.1371 1.9630 0.0496  0.0004 0.5378 232.1393 0.0000 0.3463 94.3771 17.7845 
-2    0.2610 0.1365 1.9122 0.0559 -0.0065 0.5286 231.2623 0.0000 0.3433 94.3896 17.8241 
-3    0.2035 0.1129 1.8014 0.0716 -0.0179 0.4248 184.2575 0.0000 0.2271 91.9432 12.4118 
-4    0.2676 0.1370 1.9539 0.0507 -0.0008 0.5361 232.1716 0.0000 0.3458 94.4244 17.9352 
-5    0.2685 0.1372 1.9566 0.0504 -0.0005 0.5375 232.1545 0.0000 0.3466 94.1540 17.1056 
-6    0.2455 0.1341 1.8305 0.0672 -0.0174 0.5083 214.5173 0.0000 0.3298 93.9300 16.4745 
-7    0.2519 0.1356 1.8580 0.0632 -0.0138 0.5177 210.1290 0.0000 0.3374 93.4595 15.2894 
-8    0.3428 0.1137 3.0137 0.0026  0.1198 0.5657 180.0975 0.0000 0.2309 92.0945 12.6494 
-9    0.3186 0.1274 2.5012 0.0124  0.0689 0.5682 205.5166 0.0000 0.2961 93.7016 15.8770 
-10   0.2959 0.1344 2.2022 0.0276  0.0326 0.5593 223.6561 0.0000 0.3326 94.3447 17.6826 
-11   0.2806 0.1366 2.0546 0.0399  0.0129 0.5483 230.1209 0.0000 0.3442 94.4934 18.1601 
-12   0.2695 0.1370 1.9666 0.0492  0.0009 0.5381 232.1259 0.0000 0.3462 94.4275 17.9454 
-13   0.2603 0.1364 1.9079 0.0564 -0.0071 0.5277 231.0634 0.0000 0.3429 94.3851 17.8098 
-14   0.2940 0.1352 2.1740 0.0297  0.0289 0.5590 214.1242 0.0000 0.3359 94.1554 17.1098 
-15   0.2474 0.1344 1.8409 0.0656 -0.0160 0.5108 223.2470 0.0000 0.3317 94.1734 17.1628 
-16   0.2429 0.1326 1.8313 0.0671 -0.0171 0.5028 226.4552 0.0000 0.3240 94.2469 17.3820 
-17   0.2910 0.1357 2.1451 0.0319  0.0251 0.5570 219.5513 0.0000 0.3385 94.2426 17.3691 
-18   0.2603 0.1357 1.9183 0.0551 -0.0057 0.5263 231.6537 0.0000 0.3409 94.5289 18.2780 
-19   0.2696 0.1362 1.9800 0.0477  0.0027 0.5365 232.1650 0.0000 0.3437 94.5830 18.4605 
-20   0.2992 0.1338 2.2353 0.0254  0.0369 0.5615 218.7292 0.0000 0.3293 94.2440 17.3731 
-21   0.2881 0.1359 2.1203 0.0340  0.0218 0.5544 226.5460 0.0000 0.3402 94.4166 17.9102 

