
    rstudent  dffits cook.d  cov.r tau2.del    QE.del    hat weight    dfbs inf 
1    -0.1520 -0.0111 0.0001 1.0166   1.0886 6636.4319 0.0081 0.8070 -0.0111     
2    -1.8584 -0.1570 0.0244 0.9887   1.0591 6626.9321 0.0067 0.6660 -0.1575     
3    -1.1161 -0.0981 0.0096 1.0050   1.0763 6631.8634 0.0076 0.7550 -0.0981     
4    -2.4504 -0.1919 0.0362 0.9757   1.0457 6623.5197 0.0056 0.5646 -0.1932     
5    -0.2770 -0.0225 0.0005 1.0160   1.0880 6636.1550 0.0080 0.8044 -0.0225     
6    -0.3788 -0.0318 0.0010 1.0153   1.0872 6635.8405 0.0080 0.8014 -0.0318     
7    -0.8214 -0.0721 0.0052 1.0101   1.0817 6633.7179 0.0078 0.7787 -0.0721     
8    -0.7281 -0.0637 0.0041 1.0115   1.0831 6634.2487 0.0078 0.7847 -0.0637     
9    -1.0635 -0.0935 0.0087 1.0060   1.0773 6632.2089 0.0076 0.7597 -0.0936     
10   -1.0811 -0.0951 0.0090 1.0057   1.0770 6632.0939 0.0076 0.7582 -0.0951     
11   -1.4132 -0.1231 0.0151 0.9989   1.0698 6629.8646 0.0072 0.7244 -0.1233     
12   -1.3171 -0.1152 0.0132 1.0010   1.0720 6630.5153 0.0074 0.7351 -0.1153     
13    0.7623  0.0795 0.0064 1.0156   1.0850 6610.7354 0.0103 1.0326  0.0795     
14    1.2478  0.1257 0.0157 1.0052   1.0733 6571.3455 0.0103 1.0302  0.1257     
15    0.7326  0.0766 0.0059 1.0161   1.0855 6612.7303 0.0103 1.0327  0.0766     
16    0.6759  0.0711 0.0051 1.0170   1.0864 6616.3557 0.0103 1.0329  0.0711     
17    0.6178  0.0654 0.0043 1.0178   1.0873 6619.8044 0.0103 1.0331  0.0654     
18    0.6853  0.0720 0.0052 1.0168   1.0863 6615.7686 0.0103 1.0329  0.0720     
19    1.7722  0.1724 0.0291 0.9887   1.0552 6559.9732 0.0101 1.0136  0.1724     
20   -1.2148 -0.1267 0.0160 1.0044   1.0723 6458.3032 0.0104 1.0435 -0.1267     
21   -0.5195 -0.0470 0.0022 1.0155   1.0866 6634.5999 0.0088 0.8822 -0.0470     
22    0.9635  0.0994 0.0099 1.0120   1.0808 6535.8428 0.0104 1.0443  0.0994     
23    0.7847  0.0808 0.0066 1.0150   1.0845 6622.8419 0.0101 1.0123  0.0808     
24   -1.3221 -0.1389 0.0191 1.0013   1.0689 6350.0774 0.0105 1.0460 -0.1389     
25    3.8768  0.3493 0.1054 0.8767   0.9302 5611.7156 0.0104 1.0400  0.3485   * 
